date, precipitation
2001-01-31,0.0002064516129032258
2001-02-28,5e-05
2001-03-31,0.0013806451612903227
2001-04-30,5e-05
2001-05-31,0.0013354838709677419
2001-06-30,0.002173333333333333
2001-07-31,0.002492857142857143
2001-08-31,0.002767741935483871
2001-09-30,0.00479
2001-10-31,0.0012419354838709678
2001-11-30,0.0005099999999999999
2001-12-31,0.0007566666666666667
2002-01-31,0.00045483870967741937
2002-02-28,0.0017285714285714285
2002-03-31,0.0004741935483870968
2002-04-30,0.00033000000000000005
2002-05-31,0.0011354838709677418
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,
2003-05-31,
2003-06-30,
2003-07-31,0.002932258064516129
2003-08-31,0.0031322580645161287
2003-09-30,0.0018172413793103447
2003-10-31,0.0003423076923076923
2003-11-30,0.0011766666666666666
2003-12-31,0.0005633333333333333
2004-01-31,0.0003709677419354839
2004-02-29,0.0005321428571428571
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
