COOPID, YEAR, MONTH, DAY, precipitation
81163,2019,1,1,0.00000
81163,2019,1,2,0.00000
81163,2019,1,3,0.00000
81163,2019,1,4,0.00000
81163,2019,1,5,0.00000
81163,2019,1,6,1.04000
81163,2019,1,7,0.00000
81163,2019,1,8,0.00000
81163,2019,1,9,0.00000
81163,2019,1,10,0.00000
81163,2019,1,11,0.00000
81163,2019,1,12,0.00000
81163,2019,1,13,0.00000
81163,2019,1,14,0.00000
81163,2019,1,15,0.00000
81163,2019,1,16,0.00000
81163,2019,1,17,0.00000
81163,2019,1,18,0.00000
81163,2019,1,19,0.00000
81163,2019,1,20,0.46000
81163,2019,1,21,0.00000
81163,2019,1,22,0.00000
81163,2019,1,23,0.00000
81163,2019,1,24,1.22000
81163,2019,1,25,0.00000
81163,2019,1,26,0.00000
81163,2019,1,27,1.83000
81163,2019,1,28,0.00000
81163,2019,1,29,0.00000
81163,2019,1,30,0.00000
81163,2019,1,31,0.00000
81163,2019,2,1,0.00000
81163,2019,2,2,0.00000
81163,2019,2,3,0.00000
81163,2019,2,4,0.00000
81163,2019,2,5,0.00000
81163,2019,2,6,0.00000
81163,2019,2,7,0.00000
81163,2019,2,8,0.00000
81163,2019,2,9,0.00000
81163,2019,2,10,0.00000
81163,2019,2,11,0.44000
81163,2019,2,12,0.00000
81163,2019,2,13,0.18000
81163,2019,2,14,0.00000
81163,2019,2,15,0.00000
81163,2019,2,16,0.00000
81163,2019,2,17,0.00000
81163,2019,2,18,0.00000
81163,2019,2,19,0.00000
81163,2019,2,20,0.00000
81163,2019,2,21,0.00000
81163,2019,2,22,0.00000
81163,2019,2,23,0.00000
81163,2019,2,24,0.00000
81163,2019,2,25,0.00000
81163,2019,2,26,0.00000
81163,2019,2,27,0.25000
81163,2019,2,28,0.44000
81163,2019,3,1,0.00000
81163,2019,3,2,0.00000
81163,2019,3,3,0.00000
81163,2019,3,4,0.00000
81163,2019,3,5,0.00000
81163,2019,3,6,0.00000
81163,2019,3,7,0.00000
81163,2019,3,8,0.00000
81163,2019,3,9,0.00000
81163,2019,3,10,0.00000
81163,2019,3,11,0.00000
81163,2019,3,12,0.00000
81163,2019,3,13,0.00000
81163,2019,3,14,0.00000
81163,2019,3,15,0.00000
81163,2019,3,16,0.00000
81163,2019,3,17,0.00000
81163,2019,3,18,0.00000
81163,2019,3,19,0.00000
81163,2019,3,20,0.00000
81163,2019,3,21,0.00000
81163,2019,3,22,0.00000
81163,2019,3,23,0.00000
81163,2019,3,24,0.00000
81163,2019,3,25,0.00000
81163,2019,3,26,0.00000
81163,2019,3,27,0.00000
81163,2019,3,28,0.00000
81163,2019,3,29,0.00000
81163,2019,3,30,0.00000
81163,2019,3,31,0.00000
81163,2019,4,1,0.00000
81163,2019,4,2,0.40000
81163,2019,4,3,0.40000
81163,2019,4,4,0.00000
81163,2019,4,5,0.00000
81163,2019,4,6,0.00000
81163,2019,4,7,0.00000
81163,2019,4,8,0.00000
81163,2019,4,9,1.32000
81163,2019,4,10,0.00000
81163,2019,4,11,0.00000
81163,2019,4,12,0.00000
81163,2019,4,13,0.00000
81163,2019,4,14,0.00000
81163,2019,4,15,0.40000
81163,2019,4,16,0.00000
81163,2019,4,17,0.00000
81163,2019,4,18,0.00000
81163,2019,4,19,0.24000
81163,2019,4,20,0.87000
81163,2019,4,21,0.00000
81163,2019,4,22,0.00000
81163,2019,4,23,0.00000
81163,2019,4,24,0.00000
81163,2019,4,25,0.00000
81163,2019,4,26,0.15000
81163,2019,4,27,0.00000
81163,2019,4,28,0.00000
81163,2019,4,29,0.00000
81163,2019,4,30,0.00000
81163,2019,5,1,0.00000
81163,2019,5,2,0.00000
81163,2019,5,3,0.00000
81163,2019,5,4,0.76000
81163,2019,5,5,0.00000
81163,2019,5,6,0.00000
81163,2019,5,7,0.65000
81163,2019,5,8,0.00000
81163,2019,5,9,0.00000
81163,2019,5,10,0.00000
81163,2019,5,11,1.47000
81163,2019,5,12,0.00000
81163,2019,5,13,2.40000
81163,2019,5,14,0.00000
81163,2019,5,15,0.00000
81163,2019,5,16,0.00000
81163,2019,5,17,0.00000
81163,2019,5,18,0.00000
81163,2019,5,19,0.00000
81163,2019,5,20,0.00000
81163,2019,5,21,0.00000
81163,2019,5,22,0.00000
81163,2019,5,23,0.00000
81163,2019,5,24,0.00000
81163,2019,5,25,0.00000
81163,2019,5,26,0.00000
81163,2019,5,27,0.00000
81163,2019,5,28,0.00000
81163,2019,5,29,0.00000
81163,2019,5,30,0.00000
81163,2019,5,31,0.00000
81163,2019,6,1,0.00000
81163,2019,6,2,0.00000
81163,2019,6,3,0.00000
81163,2019,6,4,0.00000
81163,2019,6,5,0.00000
81163,2019,6,6,0.00000
81163,2019,6,7,0.00000
81163,2019,6,8,0.45000
81163,2019,6,9,1.25000
81163,2019,6,10,1.20000
81163,2019,6,11,0.90000
81163,2019,6,12,0.63000
81163,2019,6,13,2.02000
81163,2019,6,14,0.00000
81163,2019,6,15,0.00000
81163,2019,6,16,0.73000
81163,2019,6,17,0.43000
81163,2019,6,18,0.83000
81163,2019,6,19,0.61000
81163,2019,6,20,0.00000
81163,2019,6,21,0.00000
81163,2019,6,22,0.00000
81163,2019,6,23,0.00000
81163,2019,6,24,0.00000
81163,2019,6,25,0.00000
81163,2019,6,26,0.00000
81163,2019,6,27,0.44000
81163,2019,6,28,0.00000
81163,2019,6,29,0.00000
81163,2019,6,30,0.00000
81163,2019,7,1,0.00000
81163,2019,7,2,0.00000
81163,2019,7,3,0.00000
81163,2019,7,4,1.31000
81163,2019,7,5,0.05000
81163,2019,7,6,0.70000
81163,2019,7,7,0.91000
81163,2019,7,8,0.00000
81163,2019,7,9,0.44000
81163,2019,7,10,0.00000
81163,2019,7,11,0.25000
81163,2019,7,12,0.00000
81163,2019,7,13,0.75000
81163,2019,7,14,0.00000
81163,2019,7,15,0.00000
81163,2019,7,16,0.52000
81163,2019,7,17,0.00000
81163,2019,7,18,2.10000
81163,2019,7,19,0.00000
81163,2019,7,20,0.66000
81163,2019,7,21,0.00000
81163,2019,7,22,0.35000
81163,2019,7,23,0.00000
81163,2019,7,24,0.53000
81163,2019,7,25,2.54000
81163,2019,7,26,0.00000
81163,2019,7,27,0.00000
81163,2019,7,28,0.24000
81163,2019,7,29,0.00000
81163,2019,7,30,0.00000
81163,2019,7,31,0.42000
81163,2019,8,1,1.56000
81163,2019,8,2,1.25000
81163,2019,8,3,1.70000
81163,2019,8,4,0.10000
81163,2019,8,5,0.00000
81163,2019,8,6,0.00000
81163,2019,8,7,0.00000
81163,2019,8,8,0.18000
81163,2019,8,9,0.00000
81163,2019,8,10,0.00000
81163,2019,8,11,1.18000
81163,2019,8,12,0.17000
81163,2019,8,13,0.72000
81163,2019,8,14,0.25000
81163,2019,8,15,1.03000
81163,2019,8,16,0.56000
81163,2019,8,17,0.44000
81163,2019,8,18,0.00000
81163,2019,8,19,0.00000
81163,2019,8,20,0.00000
81163,2019,8,21,0.00000
81163,2019,8,22,0.00000
81163,2019,8,23,0.00000
81163,2019,8,24,0.00000
81163,2019,8,25,0.00000
81163,2019,8,26,0.00000
81163,2019,8,27,0.10000
81163,2019,8,28,0.08000
81163,2019,8,29,0.00000
81163,2019,8,30,0.86000
81163,2019,8,31,0.55000
81163,2019,9,1,0.00000
81163,2019,9,2,0.00000
81163,2019,9,3,0.00000
81163,2019,9,4,0.50000
81163,2019,9,5,0.57000
81163,2019,9,6,0.00000
81163,2019,9,7,0.00000
81163,2019,9,8,0.00000
81163,2019,9,9,0.00000
81163,2019,9,10,0.00000
81163,2019,9,11,0.00000
81163,2019,9,12,0.00000
81163,2019,9,13,0.00000
81163,2019,9,14,0.00000
81163,2019,9,15,0.00000
81163,2019,9,16,0.20000
81163,2019,9,17,0.00000
81163,2019,9,18,0.00000
81163,2019,9,19,0.00000
81163,2019,9,20,0.00000
81163,2019,9,21,0.00000
81163,2019,9,22,0.00000
81163,2019,9,23,0.00000
81163,2019,9,24,0.00000
81163,2019,9,25,0.00000
81163,2019,9,26,0.00000
81163,2019,9,27,0.00000
81163,2019,9,28,0.00000
81163,2019,9,29,0.00000
81163,2019,9,30,0.00000
81163,2019,10,1,0.00000
81163,2019,10,2,0.00000
81163,2019,10,3,0.00000
81163,2019,10,4,0.00000
81163,2019,10,5,0.00000
81163,2019,10,6,0.00000
81163,2019,10,7,0.27000
81163,2019,10,8,0.30000
81163,2019,10,9,0.00000
81163,2019,10,10,0.00000
81163,2019,10,11,0.00000
81163,2019,10,12,0.00000
81163,2019,10,13,0.00000
81163,2019,10,14,0.00000
81163,2019,10,15,0.00000
81163,2019,10,16,0.00000
81163,2019,10,17,0.37000
81163,2019,10,18,0.00000
81163,2019,10,19,2.80000
81163,2019,10,20,0.00000
81163,2019,10,21,0.00000
81163,2019,10,22,0.60000
81163,2019,10,23,0.00000
81163,2019,10,24,0.00000
81163,2019,10,25,0.00000
