COOPID, YEAR, MONTH, DAY, precipitation
82008,2020,1,1,0.00000
82008,2020,1,2,0.00000
82008,2020,1,3,0.00000
82008,2020,1,4,0.60000
82008,2020,1,5,0.02000
82008,2020,1,6,0.00000
82008,2020,1,7,0.00000
82008,2020,1,8,0.00000
82008,2020,1,9,0.00000
82008,2020,1,10,0.00000
82008,2020,1,11,0.00000
82008,2020,1,12,0.06000
82008,2020,1,13,0.00000
82008,2020,1,14,0.00000
82008,2020,1,15,0.00000
82008,2020,1,16,0.00000
82008,2020,1,17,0.00000
82008,2020,1,18,0.00000
82008,2020,1,19,0.14000
82008,2020,1,20,0.00000
82008,2020,1,21,0.00000
82008,2020,1,22,0.00000
82008,2020,1,23,0.00000
82008,2020,1,24,0.07000
82008,2020,1,25,0.03000
82008,2020,1,26,0.00000
82008,2020,1,27,0.00000
82008,2020,1,28,0.00000
82008,2020,1,29,0.00000
82008,2020,1,30,0.08000
82008,2020,1,31,0.04000
82008,2020,2,1,0.29000
82008,2020,2,2,0.00000
82008,2020,2,3,0.00000
82008,2020,2,4,0.00000
82008,2020,2,5,0.00000
82008,2020,2,6,0.10000
82008,2020,2,7,0.74000
82008,2020,2,8,0.00000
82008,2020,2,9,0.00000
82008,2020,2,10,0.00000
82008,2020,2,11,0.00000
82008,2020,2,12,0.00000
82008,2020,2,13,0.02000
82008,2020,2,14,0.23000
82008,2020,2,15,0.05000
82008,2020,2,16,0.00000
82008,2020,2,17,0.45000
82008,2020,2,18,0.18000
82008,2020,2,19,0.02000
82008,2020,2,20,0.00000
82008,2020,2,21,0.05000
82008,2020,2,22,0.00000
82008,2020,2,23,0.00000
82008,2020,2,24,0.00000
82008,2020,2,25,0.20000
82008,2020,2,26,1.80000
82008,2020,2,27,0.65000
82008,2020,2,28,0.00000
82008,2020,2,29,0.00000
82008,2020,3,1,0.00000
82008,2020,3,2,0.00000
82008,2020,3,3,0.00000
82008,2020,3,4,0.00000
82008,2020,3,5,0.00000
82008,2020,3,6,0.12000
82008,2020,3,7,0.00000
82008,2020,3,8,0.00000
82008,2020,3,9,0.00000
82008,2020,3,10,0.00000
82008,2020,3,11,0.00000
82008,2020,3,12,0.00000
82008,2020,3,13,0.00000
82008,2020,3,14,0.00000
82008,2020,3,15,0.00000
82008,2020,3,16,0.00000
82008,2020,3,17,0.20000
82008,2020,3,18,0.00000
82008,2020,3,19,0.00000
82008,2020,3,20,0.00000
82008,2020,3,21,0.00000
82008,2020,3,22,0.00000
82008,2020,3,23,0.00000
82008,2020,3,24,0.00000
82008,2020,3,25,0.00000
82008,2020,3,26,0.00000
82008,2020,3,27,0.00000
82008,2020,3,28,0.00000
82008,2020,3,29,0.00000
82008,2020,3,30,0.00000
82008,2020,3,31,0.00000
82008,2020,4,1,0.60000
82008,2020,4,2,0.00000
82008,2020,4,3,0.00000
82008,2020,4,4,0.00000
82008,2020,4,5,0.15000
82008,2020,4,6,0.00000
82008,2020,4,7,0.00000
82008,2020,4,8,0.00000
82008,2020,4,9,0.11000
82008,2020,4,10,0.00000
82008,2020,4,11,0.00000
82008,2020,4,12,0.00000
82008,2020,4,13,0.00000
82008,2020,4,14,0.95000
82008,2020,4,15,0.30000
82008,2020,4,16,0.37000
82008,2020,4,17,0.00000
82008,2020,4,18,0.00000
82008,2020,4,19,0.15000
