COOPID, YEAR, MONTH, DAY, precipitation
83874,2020,1,1,0.00000
83874,2020,1,2,0.00000
83874,2020,1,3,0.00000
83874,2020,1,4,0.00000
83874,2020,1,5,0.34000
83874,2020,1,6,0.00000
83874,2020,1,7,0.00000
83874,2020,1,8,0.00000
83874,2020,1,9,0.00000
83874,2020,1,10,0.00000
83874,2020,1,11,0.00000
83874,2020,1,12,0.00000
83874,2020,1,13,0.00000
83874,2020,1,14,0.00000
83874,2020,1,15,0.00000
83874,2020,1,16,0.00000
83874,2020,1,17,0.00000
83874,2020,1,18,0.00000
83874,2020,1,19,0.00000
83874,2020,1,20,0.01000
83874,2020,1,21,0.00000
83874,2020,1,22,0.00000
83874,2020,1,23,0.01000
83874,2020,1,24,0.00000
83874,2020,1,25,0.00000
83874,2020,1,26,0.00000
83874,2020,1,27,0.00000
83874,2020,1,28,0.00000
83874,2020,1,29,0.00000
83874,2020,1,30,0.04000
83874,2020,1,31,0.02000
83874,2020,2,1,0.00000
83874,2020,2,2,0.00000
83874,2020,2,3,0.00000
83874,2020,2,4,0.00000
83874,2020,2,5,0.00000
83874,2020,2,6,0.00000
83874,2020,2,7,0.59000
83874,2020,2,8,0.00000
83874,2020,2,9,0.00000
83874,2020,2,10,0.00000
83874,2020,2,11,0.00000
83874,2020,2,12,0.00000
83874,2020,2,13,0.00000
83874,2020,2,14,0.00000
83874,2020,2,15,0.04000
83874,2020,2,16,0.00000
83874,2020,2,17,0.20000
83874,2020,2,18,0.00000
83874,2020,2,19,0.00000
83874,2020,2,20,0.00000
83874,2020,2,21,0.12000
83874,2020,2,22,0.00000
83874,2020,2,23,0.00000
83874,2020,2,24,0.00000
83874,2020,2,25,0.00000
83874,2020,2,26,0.13000
83874,2020,2,27,0.58000
83874,2020,2,28,0.00000
83874,2020,2,29,0.00000
83874,2020,3,1,0.00000
83874,2020,3,2,0.00000
83874,2020,3,3,0.00000
83874,2020,3,4,0.00000
83874,2020,3,5,0.00000
83874,2020,3,6,0.03000
83874,2020,3,7,0.00000
83874,2020,3,8,0.00000
83874,2020,3,9,0.00000
83874,2020,3,10,0.00000
83874,2020,3,11,0.00000
83874,2020,3,12,0.00000
83874,2020,3,13,0.00000
83874,2020,3,14,0.00000
83874,2020,3,15,0.00000
83874,2020,3,16,0.00000
83874,2020,3,17,0.00000
