COOPID, YEAR, MONTH, DAY, precipitation
83986,2020,1,1,0.01000
83986,2020,1,2,0.00000
83986,2020,1,3,-99.99000
83986,2020,1,4,0.00000
83986,2020,1,5,0.95000
83986,2020,1,6,0.01000
83986,2020,1,7,0.00000
83986,2020,1,8,0.00000
83986,2020,1,9,0.00000
83986,2020,1,10,0.00000
83986,2020,1,11,0.00000
83986,2020,1,12,0.01000
83986,2020,1,13,0.00000
83986,2020,1,14,0.00000
83986,2020,1,15,0.03000
83986,2020,1,16,0.00000
83986,2020,1,17,0.00000
83986,2020,1,18,0.00000
83986,2020,1,19,0.00000
83986,2020,1,20,0.00000
83986,2020,1,21,0.00000
83986,2020,1,22,0.00000
83986,2020,1,23,0.00000
83986,2020,1,24,0.00000
83986,2020,1,25,0.00000
83986,2020,1,26,0.00000
83986,2020,1,27,0.01000
83986,2020,1,28,0.00000
83986,2020,1,29,0.00000
83986,2020,1,30,0.00000
83986,2020,1,31,0.01000
83986,2020,2,1,0.35000
83986,2020,2,2,0.05000
83986,2020,2,3,-99.99000
83986,2020,2,4,-99.99000
83986,2020,2,5,0.00000
83986,2020,2,6,0.00000
83986,2020,2,7,1.05000
83986,2020,2,8,0.00000
83986,2020,2,9,0.00000
83986,2020,2,10,0.01000
83986,2020,2,11,0.00000
83986,2020,2,12,-99.99000
83986,2020,2,13,0.00000
83986,2020,2,14,-99.99000
83986,2020,2,15,0.00000
83986,2020,2,16,0.00000
83986,2020,2,17,0.04000
83986,2020,2,18,0.00000
83986,2020,2,19,0.00000
83986,2020,2,20,0.00000
83986,2020,2,21,0.30000
83986,2020,2,22,0.00000
83986,2020,2,23,0.00000
83986,2020,2,24,0.00000
83986,2020,2,25,0.00000
83986,2020,2,26,0.21000
83986,2020,2,27,0.50000
83986,2020,2,28,0.00000
83986,2020,2,29,0.00000
83986,2020,3,1,0.00000
83986,2020,3,2,0.00000
83986,2020,3,3,0.00000
83986,2020,3,4,0.00000
83986,2020,3,5,0.00000
83986,2020,3,6,0.00000
83986,2020,3,7,0.00000
83986,2020,3,8,0.00000
83986,2020,3,9,0.00000
83986,2020,3,10,0.00000
83986,2020,3,11,0.00000
83986,2020,3,12,0.00000
83986,2020,3,13,0.00000
83986,2020,3,14,0.00000
83986,2020,3,15,0.00000
83986,2020,3,16,0.00000
83986,2020,3,17,0.00000
83986,2020,3,18,0.00000
83986,2020,3,19,0.00000
83986,2020,3,20,0.00000
83986,2020,3,21,0.00000
83986,2020,3,22,0.00000
83986,2020,3,23,0.00000
83986,2020,3,24,0.00000
83986,2020,3,25,0.00000
83986,2020,3,26,0.00000
83986,2020,3,27,0.00000
83986,2020,3,28,0.00000
83986,2020,3,29,0.00000
83986,2020,3,30,0.00000
83986,2020,3,31,0.00000
83986,2020,4,1,0.00000
83986,2020,4,2,0.00000
83986,2020,4,3,0.00000
83986,2020,4,4,0.00000
83986,2020,4,5,0.00000
83986,2020,4,6,0.23000
83986,2020,4,7,0.00000
83986,2020,4,8,0.00000
83986,2020,4,9,0.00000
83986,2020,4,10,0.00000
83986,2020,4,11,0.00000
83986,2020,4,12,0.00000
83986,2020,4,13,0.00000
83986,2020,4,14,0.00000
83986,2020,4,15,0.00000
83986,2020,4,16,0.00000
83986,2020,4,17,0.43000
83986,2020,4,18,0.06000
83986,2020,4,19,0.63000
83986,2020,4,20,0.00000
83986,2020,4,21,1.62000
83986,2020,4,22,0.00000
83986,2020,4,23,0.00000
83986,2020,4,24,1.70000
83986,2020,4,25,0.78000
83986,2020,4,26,0.00000
83986,2020,4,27,0.00000
83986,2020,4,28,0.00000
83986,2020,4,29,0.00000
83986,2020,4,30,1.50000
83986,2020,5,1,0.00000
83986,2020,5,2,0.00000
83986,2020,5,3,0.00000
83986,2020,5,4,0.00000
83986,2020,5,5,0.00000
83986,2020,5,6,0.00000
83986,2020,5,7,-99.99000
83986,2020,5,8,0.00000
83986,2020,5,9,0.00000
83986,2020,5,10,-99.99000
83986,2020,5,11,0.11000
83986,2020,5,12,0.00000
83986,2020,5,13,0.00000
83986,2020,5,14,0.00000
83986,2020,5,15,0.00000
83986,2020,5,16,0.00000
83986,2020,5,17,0.00000
83986,2020,5,18,0.00000
83986,2020,5,19,0.18000
83986,2020,5,20,0.00000
83986,2020,5,21,0.00000
83986,2020,5,22,0.00000
83986,2020,5,23,0.00000
83986,2020,5,24,0.00000
83986,2020,5,25,0.01000
83986,2020,5,26,0.22000
83986,2020,5,27,0.00000
83986,2020,5,28,0.11000
83986,2020,5,29,0.52000
83986,2020,5,30,0.02000
83986,2020,5,31,0.00000
83986,2020,6,1,0.00000
83986,2020,6,2,0.00000
83986,2020,6,3,0.00000
83986,2020,6,4,1.82000
83986,2020,6,5,1.11000
83986,2020,6,6,1.82000
83986,2020,6,7,2.52000
83986,2020,6,8,0.15000
83986,2020,6,9,0.01000
83986,2020,6,10,0.01000
83986,2020,6,11,0.09000
83986,2020,6,12,0.00000
83986,2020,6,13,-99.99000
83986,2020,6,14,0.15000
83986,2020,6,15,0.00000
83986,2020,6,16,0.00000
83986,2020,6,17,-99.99000
83986,2020,6,18,0.00000
83986,2020,6,19,0.00000
83986,2020,6,20,-99.99000
83986,2020,6,21,-99.99000
83986,2020,6,22,0.00000
83986,2020,6,23,0.00000
83986,2020,6,24,0.00000
83986,2020,6,25,0.00000
83986,2020,6,26,0.36000
83986,2020,6,27,0.00000
83986,2020,6,28,0.00000
83986,2020,6,29,0.00000
83986,2020,6,30,-99.99000
83986,2020,7,1,0.00000
83986,2020,7,2,0.00000
83986,2020,7,3,-99.99000
83986,2020,7,4,0.00000
83986,2020,7,5,-99.99000
83986,2020,7,6,0.23000
83986,2020,7,7,0.08000
83986,2020,7,8,0.20000
83986,2020,7,9,0.63000
83986,2020,7,10,-99.99000
83986,2020,7,11,-99.99000
83986,2020,7,12,-99.99000
83986,2020,7,13,0.00000
83986,2020,7,14,0.04000
83986,2020,7,15,0.24000
83986,2020,7,16,-99.99000
83986,2020,7,17,0.15000
83986,2020,7,18,-99.99000
83986,2020,7,19,0.22000
83986,2020,7,20,-99.99000
83986,2020,7,21,0.00000
83986,2020,7,22,0.16000
83986,2020,7,23,0.87000
83986,2020,7,24,0.17000
83986,2020,7,25,-99.99000
83986,2020,7,26,-99.99000
83986,2020,7,27,0.15000
83986,2020,7,28,-99.99000
83986,2020,7,29,-99.99000
83986,2020,7,30,-99.99000
83986,2020,7,31,-99.99000
83986,2020,8,1,0.77000
83986,2020,8,2,-99.99000
83986,2020,8,3,0.20000
83986,2020,8,4,0.26000
83986,2020,8,5,1.70000
83986,2020,8,6,0.00000
83986,2020,8,7,0.30000
83986,2020,8,8,0.24000
83986,2020,8,9,0.00000
83986,2020,8,10,0.67000
83986,2020,8,11,0.21000
83986,2020,8,12,0.45000
83986,2020,8,13,0.00000
83986,2020,8,14,0.00000
83986,2020,8,15,0.00000
83986,2020,8,16,0.46000
83986,2020,8,17,0.00000
83986,2020,8,18,0.55000
83986,2020,8,19,0.05000
83986,2020,8,20,0.01000
83986,2020,8,21,2.44000
83986,2020,8,22,0.93000
83986,2020,8,23,0.14000
83986,2020,8,24,0.00000
83986,2020,8,25,0.18000
83986,2020,8,26,0.00000
83986,2020,8,27,0.00000
83986,2020,8,28,0.00000
83986,2020,8,29,-99.99000
83986,2020,8,30,0.26000
83986,2020,8,31,0.86000
83986,2020,9,1,2.28000
83986,2020,9,2,0.68000
83986,2020,9,3,0.96000
83986,2020,9,4,0.00000
83986,2020,9,5,-99.99000
83986,2020,9,6,0.02000
83986,2020,9,7,0.64000
83986,2020,9,8,0.22000
83986,2020,9,9,0.05000
83986,2020,9,10,0.03000
83986,2020,9,11,0.76000
