COOPID, YEAR, MONTH, DAY, precipitation
84731,2020,1,1,0.00000
84731,2020,1,2,0.00000
84731,2020,1,3,0.00000
84731,2020,1,4,0.11000
84731,2020,1,5,0.24000
84731,2020,1,6,0.00000
84731,2020,1,7,0.00000
84731,2020,1,8,0.00000
84731,2020,1,9,0.00000
84731,2020,1,10,0.00000
84731,2020,1,11,0.00000
84731,2020,1,12,0.00000
84731,2020,1,13,0.00000
84731,2020,1,14,0.00000
84731,2020,1,15,0.00000
84731,2020,1,16,-99.99000
84731,2020,1,17,0.00000
84731,2020,1,18,0.00000
84731,2020,1,19,-99.99000
84731,2020,1,20,0.24000
84731,2020,1,21,0.00000
84731,2020,1,22,0.00000
84731,2020,1,23,0.00000
84731,2020,1,24,0.00000
84731,2020,1,25,0.02000
84731,2020,1,26,0.00000
84731,2020,1,27,0.00000
84731,2020,1,28,0.00000
84731,2020,1,29,0.00000
84731,2020,1,30,0.02000
84731,2020,1,31,0.00001
84731,2020,2,1,0.02000
84731,2020,2,2,0.00001
84731,2020,2,3,0.00000
84731,2020,2,4,0.00000
84731,2020,2,5,0.00000
84731,2020,2,6,0.00000
84731,2020,2,7,1.20000
84731,2020,2,8,0.00000
84731,2020,2,9,0.00000
84731,2020,2,10,0.00000
84731,2020,2,11,0.00000
84731,2020,2,12,0.00000
84731,2020,2,13,0.00000
84731,2020,2,14,0.80000
84731,2020,2,15,0.10000
84731,2020,2,16,0.00001
84731,2020,2,17,0.40000
84731,2020,2,18,0.07000
84731,2020,2,19,0.00000
84731,2020,2,20,0.01000
84731,2020,2,21,0.31000
84731,2020,2,22,0.00001
84731,2020,2,23,0.00000
84731,2020,2,24,0.00000
84731,2020,2,25,0.15000
84731,2020,2,26,1.60000
84731,2020,2,27,0.38000
84731,2020,2,28,0.00000
84731,2020,2,29,0.00000
84731,2020,3,1,0.00000
84731,2020,3,2,0.00000
84731,2020,3,3,0.00000
84731,2020,3,4,0.00000
84731,2020,3,5,0.00000
84731,2020,3,6,0.52000
