 Year , Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec ,Annual
1895,4.06,3.77,2.66,4.84,4.96,5.97,7.42,7.27,3.95,2.7,2.74,1.65,51.99
1896,3.48,3.63,2.7,0.85,2.39,10.93,7.27,5.26,4.21,3.33,3.89,2.4,50.34
1897,1.57,6.59,3.25,4.25,1.57,5.66,8.56,7.94,9.24,3.94,1.46,2.97,57
1898,0.95,1.68,1.07,1.91,1.43,4,9.57,13.49,6.08,6.49,3.22,3.8,53.69
1899,4.84,6.03,1.99,3.78,1.25,6.61,7.34,6.62,5.15,5.05,0.8,2.05,51.51
1900,3.24,5.15,6.75,4.8,4.55,9.2,7.27,4.64,4.47,5.13,1.58,4.88,61.66
1901,2.67,4.31,5.18,2.31,4.32,9.11,7.47,11.2,6.05,1.73,1.04,3.07,58.46
1902,0.77,5.31,5.2,1.35,2.32,5.75,5.31,4.78,9.03,6.29,2.81,3.57,52.49
1903,4.08,5.61,5.83,0.6,4.9,6.54,6.88,7.3,7.64,1.59,2.93,2.02,56.64
1904,4.55,2.79,1.98,1.66,2.65,7.35,6.17,7.25,3.68,5.19,2.89,1.82,47.98
1905,1.73,3.4,3.69,2.57,5.93,4.62,8.82,9.98,6.22,2.91,0.84,7.12,57.83
1906,4.25,2.65,3.07,1.35,6.97,8.41,9.82,8.38,4.98,3.11,0.98,0.91,54.88
1907,0.76,1.42,0.8,3.28,5.8,5.98,7.08,6.45,8.29,1.34,2.34,5.75,49.29
1908,3.12,2.46,1.01,3.14,3.01,6.04,6.54,7.67,8.98,2.57,1.71,0.91,47.16
1909,1.48,1.87,2.87,2.93,4.48,6.75,11.04,8.68,3.71,1.65,0.81,2.9,49.17
1910,1.36,3.21,1.75,1.5,2.91,10.07,7.79,8.33,3.38,8.15,1.7,0.95,51.1
1911,1.37,0.22,2.17,2.39,4.81,4.93,6.77,8.11,3.83,5.36,3.95,4.76,48.67
1912,4.83,3.25,4.15,4.51,5.37,10.72,5.46,6.23,9.05,4.45,3.13,2.32,63.47
1913,1.94,4.72,5.43,2.24,3.39,5.51,5.42,7.14,5.41,2.81,1.13,3.06,48.2
1914,4.12,5.16,1.58,2.73,2.01,4.5,6.11,5.85,7.34,4.2,2.67,4.23,50.5
1915,5.58,3.75,2.53,1.38,6.06,5.74,7.67,7.16,5.16,6.79,2.53,2.59,56.94
1916,1.13,1.29,1.03,2.8,3.66,6.39,8.65,5.94,4.63,4.32,3.26,4.24,47.34
1917,1.76,2.08,2.23,1.62,2.6,5.78,7.09,7.65,7.54,2.72,0.54,1.52,43.13
1918,3.06,0.85,2.34,5.37,2.49,5.34,5.24,6.07,6.38,5.26,3.36,3.78,49.54
1919,2.41,4.99,5.36,2.22,6.01,7.01,8.72,7.61,4.42,2.16,3.07,2.67,56.65
1920,2.7,4.8,1.35,6.44,4.71,5.88,7.68,6.93,7.55,1.94,4.17,3.7,57.85
1921,1.27,1.97,1.91,2.11,5.48,3.5,8.33,4.89,2.48,8.23,2.57,2.21,44.95
1922,2.36,2.97,2.64,1.15,7.25,7.21,6.64,7.57,8.21,8.78,1.35,2.76,58.89
1923,1.91,1.83,2.37,2.78,8.28,9.47,7.1,7.46,4.78,2.7,1.01,1.34,51.03
1924,4.25,3.56,5.92,3.34,2.82,6.23,9.94,4.7,8.79,8.9,0.37,2.52,61.34
1925,4.8,1.99,1.83,1.53,5.31,6.62,7.23,7,2.64,3.59,3.28,5.95,51.77
1926,5.87,2.36,4.44,4.47,2.62,8.41,9.57,9.01,8.73,2.32,3.02,1.02,61.84
1927,0.32,3.49,2.23,1.37,1.1,7.45,6.98,6.6,3.83,3.55,1.06,3.06,41.04
1928,0.74,3.15,4.76,7.58,3.6,7.3,8.14,10.57,11.52,2.71,0.73,1.36,62.16
1929,3.19,2.33,3.55,3.47,4.95,8.09,8.23,6.23,10.59,4.08,1.57,2.58,58.86
1930,3.63,2.9,7.65,3.47,4.08,10.34,5.01,4.38,8.76,2.54,3.56,4.09,60.41
1931,3.29,2.19,5.17,4.37,3.08,2.25,6.11,6.18,4.59,2.14,0.32,2.8,42.49
1932,2.46,1.34,3.73,1.31,6.1,8.57,4.17,9.76,6.66,4.25,4.28,1.07,53.7
1933,2.35,3.46,4.05,7.24,2.91,5.22,9.76,6.6,6.86,4.11,1.57,0.68,54.81
1934,1.37,3.7,3.26,3.94,6.85,10.18,7.46,5.73,4.67,3.48,1.36,1.03,53.03
1935,1.28,2.6,1.2,4.4,3.92,5.72,9.09,8.48,9.8,2.4,1.35,2.46,52.7
1936,5.11,6.45,3.01,2.23,4.1,8.71,6.44,6.96,5.08,5.28,1.52,2.88,57.77
1937,1.86,4.98,4.23,4.82,3.46,5.87,7.22,8.04,6.88,5.04,4.19,1.11,57.7
1938,2.06,1.36,1.87,1.26,4.08,6.51,8.71,4.15,5.83,4.44,1.48,1.14,42.89
1939,1.53,2.35,1.44,4.47,4.43,9.1,7.51,10.96,5.69,2.87,1.27,1.94,53.56
1940,2.63,4.51,3.47,2.57,2.07,7.09,8.16,6.86,6.55,0.66,1.21,5.89,51.67
1941,3.48,3.63,3.97,4.41,1.34,8,10.57,5.44,6.05,5.23,3.17,3.8,59.09
1942,3.59,4.55,5.97,2.75,3.44,9.95,5.68,5.9,6.36,1.05,0.76,3.44,53.44
1943,1.88,0.89,4.5,2.27,4.63,7.25,8.57,7.29,5.91,2.4,1.78,1.56,48.93
1944,2.5,1.54,5.71,4.06,2.9,5.65,9.29,7.91,6.06,5.45,1.36,0.76,53.19
1945,3.86,1.32,0.67,3.48,1.8,7.97,10.44,8.37,8.09,3.6,1.08,4.83,55.51
1946,2.73,2.76,4.11,1.28,7.48,6.9,9.04,7.16,6.81,2.56,2.47,0.99,54.29
